Date,Value
2019-01-01,121
2019-01-02,129
2019-01-03,113
2019-01-04,157
2019-01-05,167
2019-01-06,172
2019-01-07,190
2019-01-08,201
2019-01-09,153
2019-01-10,127
2019-01-11,153
2019-01-12,180
2019-01-13,166
2019-01-14,213
2019-01-15,211
2019-01-16,152
2019-01-17,81
2019-01-18,128
2019-01-19,124
2019-01-20,152
2019-01-21,176
2019-01-22,194
2019-01-23,141
2019-01-24,117
2019-01-25,144
2019-01-26,137
2019-01-27,156
2019-01-28,185
2019-01-29,154
2019-01-30,145
2019-01-31,163
2019-02-01,153
2019-02-02,149
2019-02-03,187
2019-02-04,150
2019-02-05,172
2019-02-06,149
2019-02-07,110
2019-02-08,144
2019-02-09,170
2019-02-10,163
2019-02-11,151
2019-02-12,174
2019-02-13,164
2019-02-14,120
2019-02-15,131
2019-02-16,139
2019-02-17,121
2019-02-18,122
2019-02-19,168
2019-02-20,119
2019-02-21,99
2019-02-22,126
2019-02-23,137
2019-02-24,118
2019-02-25,135
2019-02-26,163
2019-02-27,126
2019-02-28,102
2019-02-29,139
2019-03-01,173
2019-03-02,157
2019-03-03,150
2019-03-04,186
2019-03-05,158
2019-03-06,119
2019-03-07,144
2019-03-08,172
2019-03-09,146
2019-03-10,129
2019-03-11,187
2019-03-12,159
2019-03-13,119
2019-03-14,138
2019-03-15,157
2019-03-16,153
2019-03-17,165
2019-03-18,178
2019-03-19,137
2019-03-20,110
2019-03-21,104
2019-03-22,146
2019-03-23,144
2019-03-24,144
2019-03-25,174
2019-03-26,137
2019-03-27,133
2019-03-28,73
2019-03-29,160
2019-03-30,182
2019-03-31,165
2019-04-01,176
2019-04-02,114
2019-04-03,129
2019-04-04,144
2019-04-05,130
2019-04-06,179
2019-04-07,157
2019-04-08,181
2019-04-09,141
2019-04-10,135
2019-04-11,154
2019-04-12,141
2019-04-13,164
2019-04-14,175
2019-04-15,166
2019-04-16,137
2019-04-17,117
2019-04-18,166
2019-04-19,165
2019-04-20,149
2019-04-21,141
2019-04-22,144
2019-04-23,113
2019-04-24,110
2019-04-25,126
2019-04-26,135
2019-04-27,154
2019-04-28,178
2019-04-29,173
2019-04-30,136
2019-05-01,123
2019-05-02,137
2019-05-03,181
2019-05-04,234
2019-05-05,158
2019-05-06,180
2019-05-07,152
2019-05-08,148
2019-05-09,140
2019-05-10,181
2019-05-11,177
